iid1	iid2	Sum_IBD>8	Source_site	Target_site	Source_sex	Target_sex	Source_Mt	Target_Mt	Source_Y	Target_Y	Source_Full_date	Target_Full_date	Source_Sceletal_code	Target_Sceletal_code	Source_Family	Target_Family	Source_Study	Target_Study	Source_Num of IBD neigbours	Target_Num of IBD neigbours	Num of matching neighbours	Notes
A181018	I18224	3339.85759390343	Kecskemét, Mindszenti-dűlő II, Mercedes RL12	Albertirsa site 22	F	M	H+16291	H1b1	n/a (female)	N-F4205	400-500 CE	650-750 CE	SNR 3830 (MKC06/ LS1.6)	obj. 158, str. 248, 43658 (3126)	n/a (no relatives detected)	Albertirsa-SzentmпїЅrtoni ut Family A (2 members) (1/2d: I29706-I18224)	RusconeKrauseCell2022	RusconeKrauseCell2022	69	70	63	mislabeling ?
A181019	I18225	3339.82259340773	Kecskemét, Mindszenti-dűlő II, Mercedes RL12	Albertirsa site 22	M	F	K1a4a1	D4l2	..	n/a (female)	400-500 CE	700-750 CE	SNR 3831 (MKC07/ LS1.7)	obj. 137, str. 227, 43649 (3127)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	65	63	59	mislabeling ?
A181022	I16744	3339.83359333942	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Hajdúböszörmény Homokbánya 4	F	F	H59	I4a	n/a (female)	n/a (female)	350-450 CE	600-650 CE	9./12. (MKC10/ LS1.10)	137/160 (2576)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	46	47	43	mislabeling ?
A181023	I16750	3339.92969304599	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Kövegy-Nagyfoldek	M	M	I1a1a	H35	E-CTS1273	E-BY3880	350-450 CE	600-650 CE	18/35 (MKC11/ LS1.11)	obj. 28, str. 41 (n/a)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	7	3	2	wrong date?
A181024	I16751	3339.31839692886	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Visonta Nagycsapás	F	F	J1c3	T2a1a1	n/a (female)	n/a (female)	350-450 CE	700-800 CE	23/41 (MKC12/ LS1.12)	102 (2589)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	7	9	6	mislabeling ?
A181025	I16752	3339.76019319943	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Visonta Nagycsapás	M	M	T2b	H5a3a	R-CTS1450	R-CTS1450	350-450 CE	700-800 CE	27/46 (MKC13/ LS1.13)	56 (2590)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	19	18	16	mislabeling ?
A181026	I16753	3339.97619859583	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Visonta Nagycsapás	F	M	HV0	J1c3	n/a (female)	R-CTS1450	350-450 CE	700-800 CE	36/64 (MKC14/ LS1.14)	34 (2591)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	18	19	17	mislabeling ?
A181027	I16759	3339.65839386801	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Alsónyek-Elkerülö ut, site 2	F	M	H1m	U2e1h	n/a (female)	R-CTS1450	350-450 CE	700-750 CE	43/74 (MKC15/ LS1.15)	424 (134th grave in the archaeological publications) (2597)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	17	19	13	mislabeling ?
A181028	I16812	3339.95249241052	Hajdúnánás-Fürj-halom-dűlő 2 site, M3/40A	Derecske-Bikás-dűlő	M	M	T1a1b	A+152+16362	Q-YP789	Q-YP789	350-450 CE	600-650 CE	44/75 (MKC16/ LS1.16)	obj. 1341, str. 1503, M35, 61790 (3123)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	25	23	22	mislabeling ?
A181014	I18184	3335.50779118741	Kecskemét, Mindszenti-dűlő II, Mercedes RL12	Derecske-Bikás-dűlő	M	M	K1a4a1	HV1b3b	R-DF95	R-DF95	400-500 CE	550-650 CE	SNR 3812 (MKC02/ LS1.2)	obj. 247, obj. 257 (3104)	n/a (no relatives detected)	n/a (no relatives detected)	RusconeKrauseCell2022	RusconeKrauseCell2022	13	16	10	mislabeling ?
